salesdate,kind,sales,Adjusted
1-1-2020,"Retail and food services sales, total",480301,N
2-1-2020,"Retail and food services sales, total",478467,N
3-1-2020,"Retail and food services sales, total",478267,N
4-1-2020,"Retail and food services sales, total",407227,N
5-1-2020,"Retail and food services sales, total",504607,N
6-1-2020,"Retail and food services sales, total",532678,N
7-1-2020,"Retail and food services sales, total",549416,N
8-1-2020,"Retail and food services sales, total",545307,N
9-1-2020,"Retail and food services sales, total",530987,N
10-1-2020,"Retail and food services sales, total",553114,N
11-1-2020,"Retail and food services sales, total",543273,N
12-1-2020,"Retail and food services sales, total",611429,N
1-1-2020,Retail sales and food services excl motor vehicle and parts,386934,N
2-1-2020,Retail sales and food services excl motor vehicle and parts,380639,N
3-1-2020,Retail sales and food services excl motor vehicle and parts,395880,N
4-1-2020,Retail sales and food services excl motor vehicle and parts,337693,N
5-1-2020,Retail sales and food services excl motor vehicle and parts,397245,N
6-1-2020,Retail sales and food services excl motor vehicle and parts,418450,N
7-1-2020,Retail sales and food services excl motor vehicle and parts,433183,N
8-1-2020,Retail sales and food services excl motor vehicle and parts,429379,N
9-1-2020,Retail sales and food services excl motor vehicle and parts,417929,N
10-1-2020,Retail sales and food services excl motor vehicle and parts,438435,N
11-1-2020,Retail sales and food services excl motor vehicle and parts,440053,N
12-1-2020,Retail sales and food services excl motor vehicle and parts,494937,N
1-1-2020,Retail sales and food services excl gasoline stations,440605,N
2-1-2020,Retail sales and food services excl gasoline stations,441504,N
3-1-2020,Retail sales and food services excl gasoline stations,444006,N
4-1-2020,Retail sales and food services excl gasoline stations,380417,N
5-1-2020,Retail sales and food services excl gasoline stations,472562,N
6-1-2020,Retail sales and food services excl gasoline stations,496364,N
7-1-2020,Retail sales and food services excl gasoline stations,510540,N
8-1-2020,Retail sales and food services excl gasoline stations,506577,N
9-1-2020,Retail sales and food services excl gasoline stations,493756,N
10-1-2020,Retail sales and food services excl gasoline stations,514953,N
11-1-2020,Retail sales and food services excl gasoline stations,508879,N
12-1-2020,Retail sales and food services excl gasoline stations,574794,N
1-1-2020,Retail sales and food services excl motor vehicle and parts and gasoline stations,347238,N
2-1-2020,Retail sales and food services excl motor vehicle and parts and gasoline stations,343676,N
3-1-2020,Retail sales and food services excl motor vehicle and parts and gasoline stations,361619,N
4-1-2020,Retail sales and food services excl motor vehicle and parts and gasoline stations,310883,N
5-1-2020,Retail sales and food services excl motor vehicle and parts and gasoline stations,365200,N
6-1-2020,Retail sales and food services excl motor vehicle and parts and gasoline stations,382136,N
7-1-2020,Retail sales and food services excl motor vehicle and parts and gasoline stations,394307,N
8-1-2020,Retail sales and food services excl motor vehicle and parts and gasoline stations,390649,N
9-1-2020,Retail sales and food services excl motor vehicle and parts and gasoline stations,380698,N
10-1-2020,Retail sales and food services excl motor vehicle and parts and gasoline stations,400274,N
11-1-2020,Retail sales and food services excl motor vehicle and parts and gasoline stations,405659,N
12-1-2020,Retail sales and food services excl motor vehicle and parts and gasoline stations,458302,N
1-1-2020,"Retail sales, total",418734,N
2-1-2020,"Retail sales, total",415511,N
3-1-2020,"Retail sales, total",430527,N
4-1-2020,"Retail sales, total",377210,N
5-1-2020,"Retail sales, total",462286,N
6-1-2020,"Retail sales, total",481205,N
7-1-2020,"Retail sales, total",494905,N
8-1-2020,"Retail sales, total",488949,N
9-1-2020,"Retail sales, total",476247,N
10-1-2020,"Retail sales, total",495722,N
11-1-2020,"Retail sales, total",492362,N
12-1-2020,"Retail sales, total",559932,N
1-1-2020,"Retail sales, total (excl. motor vehicle and parts dealers)",325367,N
2-1-2020,"Retail sales, total (excl. motor vehicle and parts dealers)",317683,N
3-1-2020,"Retail sales, total (excl. motor vehicle and parts dealers)",348140,N
4-1-2020,"Retail sales, total (excl. motor vehicle and parts dealers)",307676,N
5-1-2020,"Retail sales, total (excl. motor vehicle and parts dealers)",354924,N
6-1-2020,"Retail sales, total (excl. motor vehicle and parts dealers)",366977,N
7-1-2020,"Retail sales, total (excl. motor vehicle and parts dealers)",378672,N
8-1-2020,"Retail sales, total (excl. motor vehicle and parts dealers)",373021,N
9-1-2020,"Retail sales, total (excl. motor vehicle and parts dealers)",363189,N
10-1-2020,"Retail sales, total (excl. motor vehicle and parts dealers)",381043,N
11-1-2020,"Retail sales, total (excl. motor vehicle and parts dealers)",389142,N
12-1-2020,"Retail sales, total (excl. motor vehicle and parts dealers)",443440,N
1-1-2020,GAFO(1),94549,N
2-1-2020,GAFO(1),97552,N
3-1-2020,GAFO(1),95501,N
4-1-2020,GAFO(1),68637,N
5-1-2020,GAFO(1),91042,N
6-1-2020,GAFO(1),102574,N
7-1-2020,GAFO(1),106664,N
8-1-2020,GAFO(1),109556,N
9-1-2020,GAFO(1),104834,N
10-1-2020,GAFO(1),111528,N
11-1-2020,GAFO(1),117962,N
12-1-2020,GAFO(1),144871,N
1-1-2019,"Retail and food services sales, total",456538,N
2-1-2019,"Retail and food services sales, total",442274,N
3-1-2019,"Retail and food services sales, total",513845,N
4-1-2019,"Retail and food services sales, total",506920,N
5-1-2019,"Retail and food services sales, total",544203,N
6-1-2019,"Retail and food services sales, total",515269,N
7-1-2019,"Retail and food services sales, total",528710,N
8-1-2019,"Retail and food services sales, total",541951,N
9-1-2019,"Retail and food services sales, total",493076,N
10-1-2019,"Retail and food services sales, total",522195,N
11-1-2019,"Retail and food services sales, total",532130,N
12-1-2019,"Retail and food services sales, total",587471,N
1-1-2019,Retail sales and food services excl motor vehicle and parts,368649,N
2-1-2019,Retail sales and food services excl motor vehicle and parts,352651,N
3-1-2019,Retail sales and food services excl motor vehicle and parts,403490,N
4-1-2019,Retail sales and food services excl motor vehicle and parts,403550,N
5-1-2019,Retail sales and food services excl motor vehicle and parts,432418,N
6-1-2019,Retail sales and food services excl motor vehicle and parts,410619,N
7-1-2019,Retail sales and food services excl motor vehicle and parts,419527,N
8-1-2019,Retail sales and food services excl motor vehicle and parts,427360,N
9-1-2019,Retail sales and food services excl motor vehicle and parts,393464,N
10-1-2019,Retail sales and food services excl motor vehicle and parts,418339,N
11-1-2019,Retail sales and food services excl motor vehicle and parts,430888,N
12-1-2019,Retail sales and food services excl motor vehicle and parts,483860,N
1-1-2019,Retail sales and food services excl gasoline stations,420099,N
2-1-2019,Retail sales and food services excl gasoline stations,406760,N
3-1-2019,Retail sales and food services excl gasoline stations,471780,N
4-1-2019,Retail sales and food services excl gasoline stations,462650,N
5-1-2019,Retail sales and food services excl gasoline stations,496816,N
6-1-2019,Retail sales and food services excl gasoline stations,470393,N
7-1-2019,Retail sales and food services excl gasoline stations,482318,N
8-1-2019,Retail sales and food services excl gasoline stations,496002,N
9-1-2019,Retail sales and food services excl gasoline stations,450325,N
10-1-2019,Retail sales and food services excl gasoline stations,477847,N
11-1-2019,Retail sales and food services excl gasoline stations,490706,N
12-1-2019,Retail sales and food services excl gasoline stations,546509,N
1-1-2019,Retail sales and food services excl motor vehicle and parts and gasoline stations,332210,N
2-1-2019,Retail sales and food services excl motor vehicle and parts and gasoline stations,317137,N
3-1-2019,Retail sales and food services excl motor vehicle and parts and gasoline stations,361425,N
4-1-2019,Retail sales and food services excl motor vehicle and parts and gasoline stations,359280,N
5-1-2019,Retail sales and food services excl motor vehicle and parts and gasoline stations,385031,N
6-1-2019,Retail sales and food services excl motor vehicle and parts and gasoline stations,365743,N
7-1-2019,Retail sales and food services excl motor vehicle and parts and gasoline stations,373135,N
8-1-2019,Retail sales and food services excl motor vehicle and parts and gasoline stations,381411,N
9-1-2019,Retail sales and food services excl motor vehicle and parts and gasoline stations,350713,N
10-1-2019,Retail sales and food services excl motor vehicle and parts and gasoline stations,373991,N
11-1-2019,Retail sales and food services excl motor vehicle and parts and gasoline stations,389464,N
12-1-2019,Retail sales and food services excl motor vehicle and parts and gasoline stations,442898,N
1-1-2019,"Retail sales, total",399461,N
2-1-2019,"Retail sales, total",384967,N
3-1-2019,"Retail sales, total",447155,N
4-1-2019,"Retail sales, total",442921,N
5-1-2019,"Retail sales, total",475897,N
6-1-2019,"Retail sales, total",448595,N
7-1-2019,"Retail sales, total",462097,N
8-1-2019,"Retail sales, total",473482,N
9-1-2019,"Retail sales, total",429556,N
10-1-2019,"Retail sales, total",456436,N
11-1-2019,"Retail sales, total",469003,N
12-1-2019,"Retail sales, total",521467,N
1-1-2019,"Retail sales, total (excl. motor vehicle and parts dealers)",311572,N
2-1-2019,"Retail sales, total (excl. motor vehicle and parts dealers)",295344,N
3-1-2019,"Retail sales, total (excl. motor vehicle and parts dealers)",336800,N
4-1-2019,"Retail sales, total (excl. motor vehicle and parts dealers)",339551,N
5-1-2019,"Retail sales, total (excl. motor vehicle and parts dealers)",364112,N
6-1-2019,"Retail sales, total (excl. motor vehicle and parts dealers)",343945,N
7-1-2019,"Retail sales, total (excl. motor vehicle and parts dealers)",352914,N
8-1-2019,"Retail sales, total (excl. motor vehicle and parts dealers)",358891,N
9-1-2019,"Retail sales, total (excl. motor vehicle and parts dealers)",329944,N
10-1-2019,"Retail sales, total (excl. motor vehicle and parts dealers)",352580,N
