Kind,year,Total
"Retail and food services sales, total",2020,6215073
Retail sales and food services excl motor vehicle and parts,2020,4970757
Retail sales and food services excl gasoline stations,2020,5784957
Retail sales and food services excl motor vehicle and parts and gasoline stations,2020,4540641
"Retail sales, total",2020,5593590
"Retail sales, total (excl. motor vehicle and parts dealers)",2020,4349274
GAFO(1),2020,1245270
Motor vehicle and parts dealers,2020,1244316
Automobile and other motor vehicle dealers,2020,1146022
Automobile dealers,2020,1055912
New car dealers,2020,931212
Used car dealers,2020,124700
"Automotive parts, acc., and tire stores",2020,98294
"Furniture, home furn, electronics, and appliance stores",2020,192243
Furniture and home furnishings stores,2020,115563
Furniture stores,2020,62943
Home furnishings stores,2020,(S)
Floor covering stores,2020,(S)
All other home furnishings stores,2020,(S)
Electronics and appliance stores,2020,76680
Household appliance stores,2020,18330
Electronics stores,2020,58350
Building mat. and garden equip. and supplies dealers,2020,425577
Building mat. and supplies dealers,2020,371027
Paint and wallpaper stores,2020,13089
Hardware stores,2020,32859
Food and beverage stores,2020,865095
Grocery stores,2020,773741
Supermarkets and other grocery (except convenience) stores,2020,741574
"Beer, wine, and liquor stores",2020,66852
Health and personal care stores,2020,348713
Pharmacies and drug stores,2020,300855
Gasoline stations,2020,430116
Clothing and clothing access. stores,2020,204196
Clothing stores,2020,138759
Men's clothing stores,2020,(S)
Women's clothing stores,2020,26164
Family clothing stores,2020,81464
Other clothing stores,2020,12771
Shoe stores,2020,28618
Jewelry stores,2020,33296
"Sporting goods, hobby, musical instrument, and book stores",2020,86380
Sporting goods stores,2020,53911
"Hobby, toy, and game stores",2020,17338
Book stores,2020,6499
General merchandise stores,2020,739679
Department stores,2020,113497
Department stores(excl. discount department stores),2020,21386
Discount dept. stores,2020,92111
Other general merchandise stores,2020,626182
Warehouse clubs and superstores,2020,535772
All other gen. merchandise stores,2020,90410
Miscellaneous store retailers,2020,132716
"Office supplies, stationery, and gift stores",2020,22772
Office supplies and stationery stores,2020,10117
"Gift, novelty, and souvenir stores",2020,12655
Used merchandise stores,2020,15385
Nonstore retailers,2020,924559
Electronic shopping and mail-order houses,2020,836722
Fuel dealers,2020,29874
Food services and drinking places,2020,621483
Drinking places,2020,(S)
Restaurants and other eating places,2020,568965
Full service restaurants,2020,(S)
Limited service eating places,2020,328431
"Retail and food services sales, total",2019,6184582
Retail sales and food services excl motor vehicle and parts,2019,4944815
