NAICS_Code,salesdate,kind_of_business,sales,Adjusted
441,1-1-2020,Motor vehicle and parts dealers,93367,N
441,2-1-2020,Motor vehicle and parts dealers,97828,N
441,3-1-2020,Motor vehicle and parts dealers,82387,N
441,4-1-2020,Motor vehicle and parts dealers,69534,N
441,5-1-2020,Motor vehicle and parts dealers,107362,N
441,6-1-2020,Motor vehicle and parts dealers,114228,N
441,7-1-2020,Motor vehicle and parts dealers,116233,N
441,8-1-2020,Motor vehicle and parts dealers,115928,N
441,9-1-2020,Motor vehicle and parts dealers,113058,N
441,10-1-2020,Motor vehicle and parts dealers,114679,N
441,11-1-2020,Motor vehicle and parts dealers,103220,N
441,12-1-2020,Motor vehicle and parts dealers,116492,N
"4411,4412",1-1-2020,Automobile and other motor vehicle dealers,85832,N
"4411,4412",2-1-2020,Automobile and other motor vehicle dealers,90586,N
"4411,4412",3-1-2020,Automobile and other motor vehicle dealers,74904,N
"4411,4412",4-1-2020,Automobile and other motor vehicle dealers,62554,N
"4411,4412",5-1-2020,Automobile and other motor vehicle dealers,98852,N
"4411,4412",6-1-2020,Automobile and other motor vehicle dealers,104941,N
"4411,4412",7-1-2020,Automobile and other motor vehicle dealers,107082,N
"4411,4412",8-1-2020,Automobile and other motor vehicle dealers,106956,N
"4411,4412",9-1-2020,Automobile and other motor vehicle dealers,104451,N
"4411,4412",10-1-2020,Automobile and other motor vehicle dealers,105948,N
"4411,4412",11-1-2020,Automobile and other motor vehicle dealers,95304,N
"4411,4412",12-1-2020,Automobile and other motor vehicle dealers,108612,N
4411,1-1-2020,Automobile dealers,81214,N
4411,2-1-2020,Automobile dealers,85140,N
4411,3-1-2020,Automobile dealers,68937,N
4411,4-1-2020,Automobile dealers,56635,N
4411,5-1-2020,Automobile dealers,88480,N
4411,6-1-2020,Automobile dealers,93559,N
4411,7-1-2020,Automobile dealers,97104,N
4411,8-1-2020,Automobile dealers,98206,N
4411,9-1-2020,Automobile dealers,96980,N
4411,10-1-2020,Automobile dealers,98478,N
4411,11-1-2020,Automobile dealers,89223,N
4411,12-1-2020,Automobile dealers,101956,N
44111,1-1-2020,New car dealers,72074,N
44111,2-1-2020,New car dealers,74360,N
44111,3-1-2020,New car dealers,59487,N
44111,4-1-2020,New car dealers,50131,N
44111,5-1-2020,New car dealers,77773,N
44111,6-1-2020,New car dealers,81593,N
44111,7-1-2020,New car dealers,84691,N
44111,8-1-2020,New car dealers,86015,N
44111,9-1-2020,New car dealers,85909,N
44111,10-1-2020,New car dealers,87522,N
44111,11-1-2020,New car dealers,79269,N
44111,12-1-2020,New car dealers,92388,N
44112,1-1-2020,Used car dealers,9140,N
44112,2-1-2020,Used car dealers,10780,N
44112,3-1-2020,Used car dealers,9450,N
44112,4-1-2020,Used car dealers,6504,N
44112,5-1-2020,Used car dealers,10707,N
44112,6-1-2020,Used car dealers,11966,N
44112,7-1-2020,Used car dealers,12413,N
44112,8-1-2020,Used car dealers,12191,N
44112,9-1-2020,Used car dealers,11071,N
44112,10-1-2020,Used car dealers,10956,N
44112,11-1-2020,Used car dealers,9954,N
44112,12-1-2020,Used car dealers,9568,N
4413,1-1-2020,"Automotive parts, acc., and tire stores",7535,N
4413,2-1-2020,"Automotive parts, acc., and tire stores",7242,N
4413,3-1-2020,"Automotive parts, acc., and tire stores",7483,N
4413,4-1-2020,"Automotive parts, acc., and tire stores",6980,N
4413,5-1-2020,"Automotive parts, acc., and tire stores",8510,N
4413,6-1-2020,"Automotive parts, acc., and tire stores",9287,N
4413,7-1-2020,"Automotive parts, acc., and tire stores",9151,N
4413,8-1-2020,"Automotive parts, acc., and tire stores",8972,N
4413,9-1-2020,"Automotive parts, acc., and tire stores",8607,N
4413,10-1-2020,"Automotive parts, acc., and tire stores",8731,N
4413,11-1-2020,"Automotive parts, acc., and tire stores",7916,N
4413,12-1-2020,"Automotive parts, acc., and tire stores",7880,N
"442,443",1-1-2020,"Furniture, home furn, electronics, and appliance stores",16569,N
"442,443",2-1-2020,"Furniture, home furn, electronics, and appliance stores",16139,N
"442,443",3-1-2020,"Furniture, home furn, electronics, and appliance stores",13975,N
"442,443",4-1-2020,"Furniture, home furn, electronics, and appliance stores",7017,N
"442,443",5-1-2020,"Furniture, home furn, electronics, and appliance stores",11301,N
"442,443",6-1-2020,"Furniture, home furn, electronics, and appliance stores",15601,N
"442,443",7-1-2020,"Furniture, home furn, electronics, and appliance stores",17180,N
"442,443",8-1-2020,"Furniture, home furn, electronics, and appliance stores",17856,N
"442,443",9-1-2020,"Furniture, home furn, electronics, and appliance stores",17530,N
"442,443",10-1-2020,"Furniture, home furn, electronics, and appliance stores",17979,N
"442,443",11-1-2020,"Furniture, home furn, electronics, and appliance stores",19483,N
"442,443",12-1-2020,"Furniture, home furn, electronics, and appliance stores",21613,N
442,1-1-2020,Furniture and home furnishings stores,9490,N
442,2-1-2020,Furniture and home furnishings stores,9452,N
442,3-1-2020,Furniture and home furnishings stores,8159,N
442,4-1-2020,Furniture and home furnishings stores,3977,N
442,5-1-2020,Furniture and home furnishings stores,7349,N
442,6-1-2020,Furniture and home furnishings stores,9993,N
442,7-1-2020,Furniture and home furnishings stores,10625,N
442,8-1-2020,Furniture and home furnishings stores,11017,N
442,9-1-2020,Furniture and home furnishings stores,11071,N
442,10-1-2020,Furniture and home furnishings stores,11114,N
442,11-1-2020,Furniture and home furnishings stores,11187,N
442,12-1-2020,Furniture and home furnishings stores,12129,N
4421,1-1-2020,Furniture stores,5148,N
4421,2-1-2020,Furniture stores,5287,N
4421,3-1-2020,Furniture stores,4499,N
4421,4-1-2020,Furniture stores,2004,N
4421,5-1-2020,Furniture stores,4259,N
4421,6-1-2020,Furniture stores,5730,N
4421,7-1-2020,Furniture stores,5957,N
4421,8-1-2020,Furniture stores,5847,N
4421,9-1-2020,Furniture stores,6112,N
4421,10-1-2020,Furniture stores,6053,N
4421,11-1-2020,Furniture stores,5894,N
4421,12-1-2020,Furniture stores,6153,N
4422,1-1-2020,Home furnishings stores,4342,N
4422,2-1-2020,Home furnishings stores,4165,N
4422,3-1-2020,Home furnishings stores,3660,N
4422,4-1-2020,Home furnishings stores,1973,N
4422,5-1-2020,Home furnishings stores,3090,N
4422,6-1-2020,Home furnishings stores,4263,N
4422,7-1-2020,Home furnishings stores,4668,N
4422,8-1-2020,Home furnishings stores,5170,N
4422,9-1-2020,Home furnishings stores,4959,N
4422,10-1-2020,Home furnishings stores,(S),N
4422,11-1-2020,Home furnishings stores,(S),N
4422,12-1-2020,Home furnishings stores,(S),N
44221,1-1-2020,Floor covering stores,(S),N
44221,2-1-2020,Floor covering stores,(S),N
44221,3-1-2020,Floor covering stores,(S),N
44221,4-1-2020,Floor covering stores,(S),N
44221,5-1-2020,Floor covering stores,(S),N
44221,6-1-2020,Floor covering stores,(S),N
44221,7-1-2020,Floor covering stores,(S),N
44221,8-1-2020,Floor covering stores,(S),N
44221,9-1-2020,Floor covering stores,(S),N
44221,10-1-2020,Floor covering stores,(S),N
44221,11-1-2020,Floor covering stores,(S),N
44221,12-1-2020,Floor covering stores,(S),N
442299,1-1-2020,All other home furnishings stores,2422,N
442299,2-1-2020,All other home furnishings stores,2211,N
442299,3-1-2020,All other home furnishings stores,1525,N
442299,4-1-2020,All other home furnishings stores,403,N
442299,5-1-2020,All other home furnishings stores,1276,N
442299,6-1-2020,All other home furnishings stores,2102,N
442299,7-1-2020,All other home furnishings stores,2440,N
442299,8-1-2020,All other home furnishings stores,2647,N
442299,9-1-2020,All other home furnishings stores,2506,N
